.hta                 (Status: 403) [Size: 292]
.hta.php             (Status: 403) [Size: 296]
.hta.old             (Status: 403) [Size: 296]
.hta.json            (Status: 403) [Size: 297]
.hta.zip             (Status: 403) [Size: 296]
.hta.env             (Status: 403) [Size: 296]
.hta.txt             (Status: 403) [Size: 296]
.hta.xml             (Status: 403) [Size: 296]
.hta.bak             (Status: 403) [Size: 296]
.hta.html            (Status: 403) [Size: 297]
.hta.js              (Status: 403) [Size: 295]
.htaccess            (Status: 403) [Size: 297]
.htaccess.js         (Status: 403) [Size: 300]
.htaccess.php        (Status: 403) [Size: 301]
.htaccess.json       (Status: 403) [Size: 302]
.htaccess.xml        (Status: 403) [Size: 301]
.htaccess.env        (Status: 403) [Size: 301]
.htaccess.txt        (Status: 403) [Size: 301]
.htaccess.html       (Status: 403) [Size: 302]
.htaccess.bak        (Status: 403) [Size: 301]
.htpasswd.js         (Status: 403) [Size: 300]
.htpasswd.txt        (Status: 403) [Size: 301]
.htaccess.old        (Status: 403) [Size: 301]
.htpasswd            (Status: 403) [Size: 297]
.htpasswd.html       (Status: 403) [Size: 302]
.htaccess.zip        (Status: 403) [Size: 301]
.htpasswd.bak        (Status: 403) [Size: 301]
.htpasswd.xml        (Status: 403) [Size: 301]
.htpasswd.env        (Status: 403) [Size: 301]
.htpasswd.old        (Status: 403) [Size: 301]
.htpasswd.php        (Status: 403) [Size: 301]
.htpasswd.zip        (Status: 403) [Size: 301]
.htpasswd.json       (Status: 403) [Size: 302]
about.php            (Status: 200) [Size: 4900]
config               (Status: 200) [Size: 951]
docs                 (Status: 200) [Size: 1138]
external             (Status: 200) [Size: 1140]
favicon.ico          (Status: 200) [Size: 1406]
index.php            (Status: 200) [Size: 1523]
index.php            (Status: 200) [Size: 1523]
instructions.php     (Status: 200) [Size: 12506]
login.php            (Status: 200) [Size: 1523]
logout.php           (Status: 200) [Size: 1523]
php.ini              (Status: 200) [Size: 148]
phpinfo.php          (Status: 200) [Size: 1523]
phpinfo.php          (Status: 200) [Size: 1523]
robots.txt           (Status: 200) [Size: 26]
robots.txt           (Status: 200) [Size: 26]
security.php         (Status: 200) [Size: 1523]
server-status        (Status: 403) [Size: 301]
setup.php            (Status: 200) [Size: 3676]
